#---------------- --------     ------
#BJD - 2450000(d)  Flux        e_flux
#---------------- --------     ------
 7145.71976263   1.00001585  0.00013689 
 7145.74019450   1.00000581  0.00013689 
 7145.76062656   0.99986159  0.00013689 
 7145.78105852   1.00003971  0.00013689 
 7145.80149039   1.00006049  0.00013689 
 7145.82192245   1.00013352  0.00013689 
 7145.84235442   1.00006555  0.00013689 
 7145.86278638   1.00011748  0.00013689 
 7145.88321834   0.99938016  0.00013689 
 7145.90365030   0.99909629  0.00013689 
 7145.92408236   0.99893309  0.00013689 
 7145.94451422   0.99886663  0.00013689 
 7145.96494619   0.99899547  0.00013689 
 7145.98537824   0.99890698  0.00013689 
 7146.00581021   0.99871294  0.00013689 
 7146.02624206   0.99877136  0.00013689 
 7146.04667412   0.99893272  0.00013689 
 7146.06710608   0.99904359  0.00013689 
 7146.08753794   0.99997321  0.00013689 
 7146.10797000   0.99978865  0.00013689 
 7146.12840196   0.99973121  0.00013689 
 7146.14883382   0.99967879  0.00013689 
 7146.18969783   1.00018139  0.00013689 
 7146.21012968   1.00016509  0.00013689 
 7146.23056174   1.00022975  0.00013689 
 7146.25099370   1.00004261  0.00013689 
 7155.85397709   1.00022586  0.00013689 
 7155.87440889   0.99994453  0.00013689 
 7155.89484080   1.00013794  0.00013689 
 7155.91527250   0.99979390  0.00013689 
 7155.93570431   0.99992485  0.00013689 
 7155.95613621   0.99993279  0.00013689 
 7155.97656801   1.00001543  0.00013689 
 7155.99699972   0.99997635  0.00013689 
 7156.01743162   0.99955970  0.00013689 
 7156.03786343   0.99938053  0.00013689 
 7156.05829523   0.99889738  0.00013689 
 7156.07872703   0.99912984  0.00013689 
 7156.09915883   0.99903804  0.00013689 
 7156.11959064   0.99895725  0.00013689 
 7156.14002244   0.99891198  0.00013689 
 7156.16045424   0.99892147  0.00013689 
 7156.18088614   0.99948546  0.00013689 
 7156.20131784   0.99943205  0.00013689 
 7156.24218154   1.00010813  0.00013689 
 7156.26261324   0.99969992  0.00013689 
 7156.28304504   1.00013610  0.00013689 
 7156.30347694   1.00003605  0.00013689 
 7165.98812625   1.00003064  0.00013689 
 7166.00855795   1.00012388  0.00013689 
 7166.04942135   0.99985510  0.00013689 
 7166.06985305   0.99990386  0.00013689 
 7166.09028485   1.00003063  0.00013689 
 7166.11071655   1.00003174  0.00013689 
 7166.13114815   1.00005582  0.00013689 
 7166.15157994   0.99994221  0.00013689 
 7166.17201164   0.99938461  0.00013689 
 7166.19244324   0.99904608  0.00013689 
 7166.21287504   0.99920023  0.00013689 
 7166.23330674   0.99903974  0.00013689 
 7166.25373833   0.99899049  0.00013689 
 7166.27417013   0.99903733  0.00013689 
 7166.29460183   0.99900336  0.00013689 
 7166.31503343   0.99915391  0.00013689 
 7166.33546522   0.99912041  0.00013689 
 7166.35589692   0.99960688  0.00013689 
 7166.37632872   1.00004218  0.00013689 
 7166.39676031   1.00018216  0.00013689 
 7166.41719201   0.99993356  0.00013689 
 7166.43762381   0.99986957  0.00013689 
 7166.45805540   0.99997056  0.00013689 
 7166.47848710   1.00002704  0.00013689 
 7166.49891879   1.00007105  0.00013689 
 7166.51935049   0.99997019  0.00013689 
 7176.12223637   0.99988072  0.00013689 
 7176.14266792   0.99983454  0.00013689 
 7176.16309967   0.99996037  0.00013689 
 7176.18353132   1.00001620  0.00013689 
 7176.20396306   1.00007031  0.00013689 
 7176.22439461   1.00017943  0.00013689 
 7176.24482626   1.00017756  0.00013689 
 7176.26525801   1.00010877  0.00013689 
 7176.28568956   0.99999205  0.00013689 
 7176.30612120   0.99907945  0.00013689 
 7176.32655295   0.99914060  0.00013689 
 7176.34698460   0.99884496  0.00013689 
 7176.36741615   0.99920250  0.00013689 
 7176.38784790   0.99892598  0.00013689 
 7176.40827954   0.99895551  0.00013689 
 7176.42871119   0.99909396  0.00013689 
 7176.44914284   0.99913439  0.00013689 
 7176.46957449   0.99915154  0.00013689 
 7176.49000623   0.99973178  0.00013689 
 7176.51043778   0.99994096  0.00013689 
 7176.53086943   0.99997346  0.00013689 
 7176.55130108   0.99985952  0.00013689 
 7176.57173272   0.99984112  0.00013689 
 7176.59216437   0.99993276  0.00013689 
 7176.61259602   1.00022419  0.00013689 
 7176.63302766   1.00020032  0.00013689 
 7176.65345941   0.99984949  0.00013689 
 7186.25633486   1.00001634  0.00013689 
 7186.27676651   0.99997114  0.00013689 
 7186.29719826   0.99988543  0.00013689 
 7186.31762981   0.99977272  0.00013689 
 7186.33806157   0.99994319  0.00013689 
 7186.35849322   1.00002364  0.00013689 
 7186.39935652   1.00046426  0.00013689 
 7186.41978807   0.99968788  0.00013689 
 7186.44021972   0.99919517  0.00013689 
 7186.46065147   0.99904456  0.00013689 
 7186.48108302   0.99901758  0.00013689 
 7186.50151478   0.99892021  0.00013689 
 7186.52194643   0.99878061  0.00013689 
 7186.54237798   0.99888441  0.00013689 
 7186.56280973   0.99878489  0.00013689 
 7186.58324138   0.99890206  0.00013689 
 7186.60367304   0.99892208  0.00013689 
 7186.66496809   1.00003435  0.00013689 
 7186.68539964   0.99993431  0.00013689 
 7186.70583130   1.00025022  0.00013689 
 7186.72626305   0.99986245  0.00013689 
 7186.74669470   0.99992781  0.00013689 
 7186.76712625   0.99988467  0.00013689 
 7186.78755801   1.00002946  0.00013689 
 7196.39044824   1.00015133  0.00013689 
 7196.41087984   1.00005742  0.00013689 
 7196.45174336   0.99998701  0.00013689 
 7196.47217516   0.99998145  0.00013689 
 7196.49260677   0.99982366  0.00013689 
 7196.51303848   1.00007786  0.00013689 
 7196.53347029   0.99987866  0.00013689 
 7196.55390189   0.99976580  0.00013689 
 7196.57433360   0.99904467  0.00013689 
 7196.59476531   0.99887787  0.00013689 
