Galaxy,velicity,bhmass,bhmass_err
MilkyWay,103,4100000,600000
A1836-BCG,288,3900000000,600000000
A3565-BCG,322,1400000000,300000000
Circinus,158,1700000,400000
IC1459,315,2800000000,1200000000
N221(M32),75,2600000,500000
N224(M31),160,140000000,80000000
N524,235,860000000,100000000
N821,209,170000000,70000000
N1023,205,40000000,4000000
N1194,148,68000000,3000000
N1300,218,71000000,34000000
N1316,226,170000000,30000000
N1332,328,1500000000,200000000
N1374,174,590000000,60000000
N1399,296,510000000,70000000
N1407,274,4700000000,700000000
N1550,289,3900000000,700000000
N2273,144,7800000,400000
N2549,145,14000000,4000000
N2787,189,41000000,5000000
N2960,166,12100000,500000
N3031(M81),143,80000000,20000000
N3091,307,3700000000,500000000
N3115,230,890000000,510000000
N3227,133,15000000,8000000
N3245,205,210000000,60000000
N3368,122,7600000,1500000
N3377,145,180000000,90000000
N3379(M105),206,420000000,100000000
N3384,143,11000000,5000000
N3393,148,33000000,2000000
N3489,100,6000000,900000
N3585,213,330000000,150000000
N3607,229,140000000,50000000
N3608,182,470000000,100000000
N3842^b,270,9700000000,3000000000
N3998,272,850000000,70000000
N4026,180,180000000,60000000
N4258,115,36700000,100000
N4261,315,530000000,110000000
N4291,242,980000000,310000000
N4342,225,460000000,260000000
N4374(M84),296,920000000,100000000
N4388,107,8800000,200000
N4459,167,70000000,14000000
N4472(M49),300,2500000000,600000000
N4473,190,89000000,45000000
N4486(M87),324,6200000000,300000000
N4486A,111,14000000,5000000
N4564,162,88000000,24000000
N4594(M104),230,670000000,50000000
N4596,136,84000000,36000000
N4649(M60),341,4700000000,1100000000
N4697,177,200000000,20000000
N4736(M94),112,6800000,1600000
N4826(M64),96,1600000,400000
N4889,347,21000000000,16000000000
N5077,222,800000000,500000000
N5128(CenA),150,59000000,11000000
N5516,306,4000000000,100000000
N5576,183,170000000,30000000
N5845,234,490000000,160000000
N6086,318,3800000000,1700000000
N6251,290,600000000,200000000
N6264,158,30300000,500000
N6323,158,9800000,100000
N7052,266,400000000,280000000
N7582,156,55000000,16000000
N7619,313,2300000000,1200000000
N7768,257,1300000000,500000000
U3789,107,10800000,600000
